ward_spatial,longitude,latitude
15,-87.68495314,41.81185685
16,-87.67553819,41.77958098
15,-87.66580916,41.78058344
16,-87.68013024,41.77630157
16,-87.67098024,41.77294035
16,-87.64987763,41.77522406
16,-87.65005468,41.76851309
5,-87.59864394,41.79992535
16,-87.64171431,41.7887423
16,-87.64238236,41.78729941
16,-87.64049606,41.78320007
16,-87.6554223,41.78010483
5,-87.59488664,41.76927696
17,-87.65634651,41.76437593
17,-87.65330472,41.74725894
7,-87.55896309,41.75641337
7,-87.56016224,41.74783573
8,-87.60184423,41.72783236
8,-87.60666194,41.72593233
10,-87.56170763,41.70573513
10,-87.56120263,41.69746011
9,-87.62120028,41.70309546
3,-87.62679806,41.85739623
11,-87.66678309,41.82346328
12,-87.69229408,41.81455188
15,-87.68672399,41.80905016
22,-87.75027726,41.81246716
14,-87.74264467,41.80296761
37,-87.76002225,41.90877035
37,-87.74932486,41.88928075
24,-87.73567687,41.85897362
24,-87.7293659,41.85457529
24,-87.70418507,41.85991905
28,-87.73235129,41.88235064
27,-87.69259991,41.88137195
28,-87.70856246,41.87521781
28,-87.73434253,41.87671642
29,-87.81465401,41.93821378
3,-87.63262923,41.86432134
3,-87.62873383,41.86517847
23,-87.76775353,41.79290961
21,-87.636945,41.70435078
21,-87.63149545,41.69639114
21,-87.63153907,41.69456772
21,-87.64213216,41.67316225
9,-87.60939855,41.65851447
9,-87.63404364,41.71114375
9,-87.63010588,41.69223963
21,-87.63082888,41.69041614
21,-87.63316551,41.67909914
9,-87.6297006,41.6839272
10,-87.56140816,41.68207626
10,-87.56932239,41.67938937
10,-87.57087299,41.67679219
10,-87.56923644,41.67615549
37,-87.74166669,41.91107899
15,-87.68471757,41.80390884
13,-87.72650651,41.79290686
50,-87.70764125,42.00182175
21,-87.64870398,41.68892528
21,-87.63786732,41.67522635
10,-87.54625454,41.65700386
10,-87.54873051,41.65423619
30,-87.73030922,41.94274025
40,-87.67678209,41.99287834
43,-87.64584443,41.93126408
24,-87.72470355,41.86194438
28,-87.71376103,41.8871946
28,-87.70267261,41.87307301
24,-87.71524307,41.87149816
28,-87.73371606,41.87992241
27,-87.64700279,41.90960641
34,-87.66382864,41.87191236
24,-87.70986634,41.85226208
